cpf;rg;email;dt_nasc;sexo;nome;salario
67292672329;49.521.794-2;isadorajensdatter@gmail.com;11/11/1997;Masculino;Álvaro Leonardo Delpupo;2136.00
44556524695;94.151.040-1;guilhermecaldeira@gmail.com;30/11/1967;Feminino;Edgar Bryan Dalla Marta;5482.00
24589191113;87.924.827-2;rodrigoabaine@gmail.com;08/04/1983;Feminino;Nicole Giovana Mergár;4632.00
81892542196;63.682.544-8;helosahostey@gmail.com;30/07/1968;Feminino;Muriel Caio Gomes;9977.00
64306195597;69.958.709-8;marinaamim@gmail.com;05/12/1988;Masculino;Calebe Lucas Peppelenbos;3941.00
78267185976;78.088.228-2;carolknudsen@gmail.com;13/09/1967;Feminino;Melissa Manuela Aveleda;8939.00
31427652805;53.188.427-0;kelvinrochetti@gmail.com;22/07/1992;Feminino;Tiago João Pandini;4603.00
06445883060;18.901.153-4;nicolecalvi@gmail.com;09/10/1971;Masculino;João Francisco Especemile;2206.00
50552719730;67.220.667-1;guilhermemendes@gmail.com;24/12/1919;Masculino;Ana Esther Siciliano;6067.00
50429511132;70.458.424-2;yasminpereira@gmail.com;21/09/1922;Masculino;Fernando Alan Miranda;2502.00
79161795208;45.712.965-5;gabrielacavaleiro@gmail.com;20/09/1933;Masculino;Paloma Luana Pancot;4248.00
06257958652;36.169.813-8;juliacardozo@gmail.com;26/05/1924;Masculino;Ana Bárbara Sørensdatter;4056.00
31900747553;63.823.067-0;jorgepreta@gmail.com;06/06/1928;Masculino;Esther Yasmine Iwand;2422.00
74021262695;66.984.195-8;liaferreira@gmail.com;09/05/1955;Feminino;Helena Clarissa Arduíni;4179.00
01085225046;87.296.204-9;marcospaoliello@gmail.com;01/02/1973;Masculino;Lourenço Filipe Bortolotti;7432.00
30052946681;16.496.088-4;yasminemendes@gmail.com;08/07/1985;Masculino;Pedro Bernardo Bernardo;8569.00
19159836571;39.527.724-0;dianaforafo@gmail.com;30/04/1945;Masculino;Martim Lorenzo Furian;2666.00
64122093015;93.751.077-1;arielaostitydomingue@gmail.com;10/12/1931;Feminino;Diana Isabel Brancaglioni;8967.00
24303565032;78.888.719-4;tiagoprata@gmail.com;15/06/1966;Feminino;Clarisse Lavínia Pavan;7239.00
24298704602;57.586.002-2;afonsororiz@gmail.com;02/07/1953;Masculino;Luana Gabriela Jacobsen;5715.00
49216763728;03.986.292-5;lorenzomeger@gmail.com;14/04/1939;Feminino;Gustavo Douglas Fernandez;6549.00
57247907851;63.417.145-3;fernandapedrazini@gmail.com;23/05/1998;Feminino;Abigail Luana Castro;1521.00
29523870602;80.415.514-4;maurciodeabreu@gmail.com;21/09/1933;Feminino;Bryan Bruno São Pedro;5353.00
62284016618;85.714.396-7;lauradinis@gmail.com;05/01/1956;Feminino;Francisco Igor Scaramussa;9245.00
44793690238;34.971.986-5;yasminefrancischeto@gmail.com;06/11/1946;Feminino;Isadora Marcela Pereira;6341.00
23833699345;84.109.710-0;fbioabbud@gmail.com;27/04/1997;Feminino;Isis Sara Ferreira;5434.00
06502287581;13.562.716-6;mariapancini@gmail.com;04/05/1961;Feminino;Joana Cloe Mortensen;7391.00
95386903110;57.207.504-5;renanqueiroz@gmail.com;23/08/1941;Masculino;Ágata Cecília Zavarize;9818.00
81161808515;68.566.571-1;gustavofabis@gmail.com;06/01/1920;Feminino;Marcela Bruna Bissoli;1777.00
39274253389;28.534.894-6;pedrodasilva@gmail.com;07/10/1974;Masculino;Julia Helena Wallory;8582.00
50213822920;24.738.934-8;isatsuchiya@gmail.com;13/04/1944;Masculino;Anderson Jonathan Jacome;4354.00
86677630390;21.953.131-8;brendaraposo@gmail.com;20/02/1937;Masculino;Paulo Artur Nicoli;5093.00
83593408970;64.359.623-9;sophiacunha@gmail.com;29/06/1984;Feminino;Mateus Bryan Nielson;9119.00
98434343827;00.231.915-2;calebecasagrande@gmail.com;05/09/1929;Feminino;Abigail Maria Marchioro;7683.00
32999641788;20.240.535-4;luccapolinini@gmail.com;22/05/1957;Feminino;Sabrina Fernanda Pin;1695.00
15952362524;16.413.318-2;isadoracosme@gmail.com;27/02/1975;Masculino;Maria Ana Fulaneti;9855.00
17232729650;28.589.928-4;heitorgranzotto@gmail.com;30/06/1961;Masculino;Maria Esther Novo;2472.00
31051802733;79.793.564-8;daviabreu@gmail.com;31/12/1927;Feminino;Heitor António Fitipaldi;4318.00
31524522171;01.455.837-1;isaragazzi@gmail.com;07/12/1974;Feminino;Frederico Bruno de Moraes;8513.00
65230316160;15.984.133-2;clarissethirine@gmail.com;07/02/1942;Masculino;Ariana Joana Rossim;4291.00
84655108908;64.801.617-7;kevinpenna@gmail.com;23/05/1994;Masculino;Júlio Muriel Tomé;8134.00
91002986117;93.212.908-2;marinalepine@gmail.com;03/09/1960;Feminino;Aurora Marcela Rosa;7999.00
29542015763;61.324.814-9;caroldapacciani@gmail.com;05/02/1991;Masculino;Renan Fernando Cecote;2374.00
29041593390;68.133.283-5;gabriellydoamparo@gmail.com;23/09/1958;Masculino;Cecília Jessica Gularte;2114.00
27839351476;11.991.512-7;ivanwandermurem@gmail.com;30/08/1941;Feminino;Aurora Lara Carvalho;7191.00
97242499488;42.407.441-9;jonathanmagaldi@gmail.com;30/07/1952;Masculino;Rafael Renato Calmon;3014.00
19737966279;42.941.568-1;isadoraalmeida@gmail.com;09/03/1920;Masculino;Lorena Marina Merotto;9546.00
70900834544;96.075.619-0;caiodearajuo@gmail.com;12/04/1970;Feminino;Rafaela Sara Araújo;5704.00
93782735480;37.056.400-4;vitriaormo@gmail.com;25/09/1929;Masculino;Pablo Bryan de Moraes;1784.00
54178701703;40.503.973-4;liadariva@gmail.com;02/05/1949;Feminino;Valentina Amanda Santiago;8569.00
83569845214;71.035.620-5;enzobasei@gmail.com;06/11/1962;Feminino;Manuela Catarina Machado;5474.00
41518088171;23.259.607-4;valentinavasconcelos@gmail.com;19/12/1956;Feminino;Íris Beatriz Grolla;9320.00
56207285360;31.235.320-5;samuelmantovali@gmail.com;30/06/1934;Masculino;Rafael Pablo Cardoso;7257.00
70038973936;54.411.891-2;yasminebaro@gmail.com;16/12/1959;Feminino;Larissa Ariela Guarnier;2982.00
09439644583;64.100.374-0;iansossai@gmail.com;24/05/1999;Feminino;Marco Renan Lems;5253.00
95043339667;51.982.926-1;daviavelar@gmail.com;22/08/1954;Feminino;Davi Aquiles Caetano;6905.00
16349985702;27.371.489-7;aquilesbroedel@gmail.com;10/05/1960;Masculino;Valentina Ariana Vasoler;2344.00
78049936090;04.831.691-3;manuelacarminate@gmail.com;06/07/1966;Masculino;Marco Samuel Teganhe;7085.00
39931650710;27.493.504-5;lorenzosantos@gmail.com;25/10/1936;Masculino;Cristiano Cristiano Pollini;5640.00
10233350349;33.621.659-6;samuelcasaro@gmail.com;23/07/1922;Feminino;Carlos Fábio Riguetto;1558.00
96652449226;67.001.431-8;antnioendringer@gmail.com;02/08/1950;Masculino;Douglas Benjamin Bastos;7225.00
13251045903;21.906.658-9;murielchristophersen@gmail.com;16/03/1964;Masculino;Emanuelle Jade Carneiro;2573.00
11884359574;59.850.069-0;alanafirese@gmail.com;04/05/1976;Masculino;Mariana Luiza Cassaro;8069.00
82490314076;76.384.736-3;jorgeespritosanto@gmail.com;13/05/1977;Feminino;Otávio Bryan Marchese;2116.00
51389437159;70.726.397-5;diegofioravante@gmail.com;13/06/1981;Feminino;Érica Bianca Comerio;8200.00
37830940037;28.254.219-9;cloelizabo@gmail.com;09/06/1976;Masculino;Ingrid Manuela Marinho;7463.00
51678363952;90.763.275-1;martimdelaparte@gmail.com;10/05/1941;Masculino;Fábio Emanuel Alexandre;9914.00
41680364995;83.550.591-0;enzodasilveira@gmail.com;29/04/1987;Feminino;Rebeca Helena de Zan;8343.00
12728856079;99.260.929-4;guilhermedurfee@gmail.com;08/11/1967;Feminino;Otávio Lucca Guarnier;9812.00
54692533765;46.788.269-0;claramamoni@gmail.com;24/02/1929;Feminino;Francisco Lucca Marquioro;2048.00
16729259590;14.334.039-3;diogodesousa@gmail.com;05/10/1981;Feminino;Sophia Lis Firese;8931.00
02627546490;84.888.882-9;mariaoliveira@gmail.com;22/12/1931;Masculino;Francisco Anderson Rochite;2052.00
24670421204;41.283.792-5;risdesousa@gmail.com;10/06/1938;Masculino;Calebe João Chiesurin;5467.00
61394256620;91.919.846-0;adrianorui@gmail.com;18/11/1976;Feminino;Luisa Heloísa Barazzuol;4033.00
95759636103;76.123.058-1;davicorradi@gmail.com;25/03/1961;Feminino;Raquel Manuela Piaj;6526.00
83740322195;25.487.809-2;marianapereira@gmail.com;17/08/1918;Masculino;Gabriela Vitória Piassarolli;1617.00
15377155181;54.381.794-2;manuelmontanaro@gmail.com;05/12/1967;Feminino;Rodrigo Renato de Farias;1967.00
73021071902;99.327.794-1;joanaminete@gmail.com;21/02/1996;Feminino;Lorena Bruna Geraldo;5992.00
16342291187;72.583.693-6;davigularte@gmail.com;10/06/1952;Feminino;David Luis Abbud;3119.00
23935654855;06.516.958-0;ivancunshnir@gmail.com;20/01/1935;Masculino;Isa Clarisse Facundes;6945.00
10796983968;13.904.142-0;nicoleambrosio@gmail.com;14/12/1970;Masculino;Felipe Flávio Alexandre;7782.00
94853314440;87.460.891-0;masaonhas@gmail.com;25/10/1954;Masculino;Daniela Emanuelle Lourenço;3754.00
32963145802;22.055.101-0;andrdebrito@gmail.com;31/12/1973;Masculino;Cristiano Bruno Moscon;3942.00
